name,DS100,Laenge,Breite,osm_id,osm_name
Basel SBB,XSB,7.5896417,47.5476225,3080746011.0,Basel SBB
Bft Einf SBB PB,RXBA,,,,
Stuttgart Flughafen NBS,TFL N,9.1924211,48.692426,8372657436.0,Stuttgart Flughafen Fernbahnhof
Stuttgart Hbf,TS F,9.1821173,48.7842663,6242866774.0,Stuttgart Hauptbahnhof
Üst Richterich,KRIC,,,,
Alsdorf-Mariagrube,KMAG,6.1853578,50.8663192,523027110.0,Mariagrube Maf
Alsdorf-Hoengen,YKHOE,6.2122024,50.8686201,91834039.0,Hoengen
Alsdorf-Hoengen Gewerbegebiet,YKHOEG,,,,
Siersdorf,KSIE,6.2267319,50.8982624,9941817.0,Siersdorf
Baesweiler-Setterich,YKSET,6.2035269,50.9228939,171416.0,Setterich
Baesweiler Gewerbegebiet,YKBASG,6.1738707,50.9191355,613398621.0,Gewerbegebiet ITS
Baesweiler Carl-Alexander-Park,YKBASC,6.1583687,50.9086087,3393059.0,Carl-Alexander Park
Emmerich Grenze,EXEM,6.1665657,51.8407809,2385169282.0,Grenze Bundesrepublik Deutschland/Niederlande
Zevenaar,XNZV,6.0775263,51.9279081,417702.0,Zevenaar
Arnhem,XNAH,5.8762345,52.0056642,272939.0,Arnhem
Jena Burgau,YUJB,11.593222,50.8967027,3424024.0,Burgau
Binz LB,XBINZLB,13.6109363,54.3923739,5261023408.0,Binz LB
Jagdschloß,XJAGD,13.6250811,52.2982658,24336890.0,Jagdschloss
Garftitz,XGARF,13.6421498,54.3694529,332074556.0,Garftitz
Sellin (Rügen) West,XSELLW,,,,
Sellin (Rügen) Ost,XSELLO,13.6988792,54.3712554,376224508.0,Sellin-Ost
Baabe,XBAAB,13.7043671,54.3602126,1437797.0,Baabe
Philippshagen,XPHS,13.706913,54.331315,2730583112.0,Philippshagen
Göhren (Rügen),XGOE,13.7184611,54.3287284,190633415.0,Rugen
Berlin-Schöneberg Bbf,BSBB,13.336329,52.496107,2878157401.0,Mellenthin Schmidt bbf
Berlin-Düppel,BDP,13.2400309,52.4260371,79995218.0,Justizvollzugsanstalt Düppel
Europarc (Dreilinden),YBEUP,13.1881368,52.4063125,797808872.0,Europarc Dreilinden
Birkenwerder,BBI,13.2831336,52.6884408,1310088.0,Birkenwerder
Wankendorf,AWD,10.2049631,54.1126768,310415.0,Wankendorf
Liege-Guillemins,XBLIG,5.5664376,50.6243164,1235738044.0,Liège-Guillemins
Bruxelles-Nord,XBBN,4.3608851,50.8603888,31093284.0,Brussel Noord - Bruxelles Nord
Bruxelles-Midi,XBB,4.3362419,50.8356748,17401552.0,Bruxelles-Midi - Brussel-Zuid
München Hbf Bfplatz,MHBP,,,,
München Marienhof,MMHO,11.5762099,48.138639,10180597915.0,Marienhof
München Ost tief,MOPT,,,,
Heerlen,XNH,5.9815066,50.8775239,406105.0,Heerlen
Landgraaf,XNLG,6.0293103,50.9024566,406384.0,Landgraaf
XNEM,XNEM,,,,
Hof Mitte,YNHOM,13.4135828,52.51868,4974583270.0,Amtsgericht Mitte
Forbach,XFFB,6.8958562,49.1862822,1162548.0,Forbach
Paris Est,XFPO,2.3594905,48.8770979,2506241285.0,Paris Gare de l'Est
Abzw Waldhausen,HWHN,10.2311449,49.2370225,9900803722.0,Abzw. Rothof
Birkengrund,BBGN,13.2720337,52.3158955,1169704080.0,Birkengrund
Schaffhausen,RSCF,8.634513,47.6960491,1683703.0,Schaffhausen
AKSG,AKSG,,,,
Kiel-Gaarden Hp,AKGA,,,,
AKWD,AKWD,29.833333,19.05,7731290305.0,Jabal Nuşub Akoda
AFFB,AFFB,,,,
Bft Bergedf Gbf,ABG G,,,,
Merzbrück,KSME,6.2040024,50.8235581,428548471.0,Merzbrück
Eschweiler-St. Jöris,KSJ,6.2019318,50.8351319,2917414153.0,Eschweiler-St.Jöris
Barby,LBY,4.3129272,49.5217295,3258139.0,Barby
Bft Gütergl Gks,LGK S,,,,
Ingolstadt Nord Audi,MINA,11.4226207,48.7843602,29205372.0,N30
Hürth-Fischenich,YKHF,6.8929108,50.8576404,276057965.0,Fischenich
Köln-Klettenberg,YKKKL,6.9265085,50.8907866,370566.0,Köln-Eifeltor;Köln-Klettenberg
Köln Weißhausstr.,YKKWS,6.9360156,50.919382,1367727578.0,Weißhausstraße
Köln Aachener Str.,YKKAAS,6.6975158,50.9363468,7920892.0,Köln-Aachener-Straße
Vilkerath,YKVIR,7.3191637,50.9616795,295195290.0,Vilkerath
Kierspe,YEKIS,7.6006513,51.1278531,168557.0,Kierspe
Abzw Pommelsbr,NPOM,,,,
Höltinghausen,HHOE,8.1258968,52.8601723,304322211.0,Höltinghausen
Neu Ulm Industrie,YNEU,10.0108288,48.3947288,108799424.0,Ecodrom Kartbahn Neu-Ulm
Burlafingen,YBUR,10.0693397,48.4135573,9584119.0,Burlafingen
Jettingen Hp,YMJETH,,,,
Bft A Hirbl Str,MAHI,,,,
Klein Reken,EKREK,7.0381773,51.7867359,34078997.0,Klein Reken
Elmschenhagen Ost,AKEO,,,,
Schwentinental Gutenbergstraße,ARSO,10.2161803,54.2880543,150792269.0,Gutenbergstraße
Preetz Nord,APZN,,,,
Preetz Krankenhaus,APZK,10.2777504,54.2391841,554647012.0,Erweiterung Krankenhaus
Reg-Walhallastr.,NRWA,,,,
Reg-Wutzlhofen,NRWU,,,,
Regenstauf-Diesenbach,YNRGFD,12.1173358,49.1316505,46909406.0,Diesenbach
Ponholz,NPO,12.0999347,49.1672764,148887407.0,Ponholz
Hamburg-Altona Nord,AAN,9.94472,53.5614,183607.0,Altona-Nord
Frankfurt (Main) Hbf Fernbahn,YFFF,,,,
Linz Hbf,XAL,14.2918619,48.2902408,215682892.0,Linz Hauptbahnhof
St. Pölten Hbf,XAP,15.6246812,48.2082798,2465563392.0,St.  Pölten Hauptbahnhof
Wien Meidling,XAWG,16.3339652,48.1745297,66432827.0,Wien Meidling
Wien Hbf ,XAWBF,16.3779391,48.1849883,1839787470.0,Wien Hauptbahnhof
Hüttengrund     Awanst,UHGR,11.1973278,50.3834973,3066794481.0,Hüttengrund (Awanst)
Görsdorf (Thür.),YUGDF,10.9575674,50.3737881,11078127883.0,Görsdorf (Thür)
Tiefenlauter,YNTFL,10.9698222,50.336172,310004357.0,Tiefenlauter
Zoobrücke,KKZO,6.9761086,50.9541083,583391209.0,Zoobrücke
Gruiten Hp,KGUH,7.010356,51.214573,4565955908.0,Haan-Gruiten
Köln-Humboldt/Gremberg,YKKHG,7.0076759,50.9256036,2613740.0,Humboldt/Gremberg
Köln-Poll,YKKPO,7.0008194,50.9084322,443949.0,Köln-Poll
Köln Bonntor,KKBT,6.9527445,50.9163838,3190285956.0,Köln Bonntor
Abzw Berliner   Straße,KKMN,7.3346981,49.3412907,906645377.0,Abzw. Berliner Straße
Aš,XTAS,12.1895886,50.2216257,439457.0,Aš
Hazlov,XTHAZ,12.2723776,50.1563411,439467.0,Hazlov
Vojtanov obec,XTVO,12.3131605,50.1623376,33153063.0,Vojtanov obec
Františkovy Láznĕ,XTF,12.3488519,50.1223741,439479.0,Františkovy Lázně
Františkovy Láznĕ Aquaforum,XTFA,12.3590365,50.1169154,832574155.0,Františkovy Lázně-Aquaforum
Cheb,XTCH,12.3703526,50.0793511,439454.0,Cheb
Schönwalde (Barmim) Bf,BSWHN,,,,
Mühlenbeck (b Berlin),BMK,,,,
Schildow-Mönchmühle,BSCM,,,,
Schildow,BSCW,13.377057,52.6355634,10603012.0,Schildow
Berlin Wilhelmsruher Damm,BMWD,13.3672402,52.5965954,30831795.0,Berlin-Wilhelmsruher Damm
München Poccistr.,YMPS,11.5502436,48.1254879,2644689622.0,Poccistraße
Kufstein,XAKN,12.1692134,47.582996,85918.0,Kufstein
Salzburg Hbf,XASB,13.045853,47.8130618,302097253.0,Salzburg Hauptbahnhof
Hahnenfurth-Düssel,YKHD,7.0554244,51.2539836,8224122274.0,Hahnenfurth/Düssel
Binsfeld,KBIN,6.7055682,49.9637377,1259124.0,Binsfeld
Bubenheim,KBUB,8.1185166,49.6278195,1254388.0,Bubenheim
Jakobwüllesheim,KJAK,6.5594104,50.7631926,173820968.0,Jakobwüllesheim
Domažlice,XTDO,12.9298338,49.4407069,438629.0,Domažlice
Česká Kubice,XTC,12.8587956,49.369376,439255.0,Česká Kubice
Furth i W Grenze,NXFU,12.8451436,49.3079592,154234597.0,"Landestormuseum ""Heimat – Grenze – Drache"""
Abzw Horchh Br,KHBR,,,,
Rurich,KRUR,6.27117,51.0139679,78349634.0,Rurich
Körrenzig,KKRR,6.282195,51.0010601,28449575.0,Körrenzig
Linnich Bbf,YKLINB,,,,
Kostrzyn,XPK,17.2275394,52.3983662,2698546.0,Kostrzyn
Grafenwiesen,GRAF,12.8803839,49.2012054,959886.0,Grafenwiesen
Hohenwarth Campingplatz,NHWC,12.9248023,49.2049059,275249918.0,Hohenwarth Campingplatz
Arrach,NAAR,12.993517,49.191712,959919.0,Arrach
Frahelsbruck,NFRB,13.0331642,49.1937139,355151728.0,Frahelsbruck
Lindau-Reutin,MLIR,9.7031148,47.5524552,4815522994.0,Lindau-Reutin
Bad Neuenahr Mitte,YKNEBM,7.1455794,50.549062,1170629439.0,Bad Neuenahr-Mitte
F048A,F048A,,,,
Didierw Anst,NDIW,,,,
Teublitz Anst,NTZ,,,,
Burglengenfeld,NBF,12.03996,49.2071077,962186.0,Burglengenfeld
Karower Kreuz (oben F),BKAK O,,,,
Uhldingen-Mühlhofen Ort,YRUDMO,,,,
Bft BASF Südtor,RLBST,,,,
Neumarkt (Opf) Süd,YNNTS,11.4611403,49.2815797,205382366.0,Amtsgericht Neumarkt i.d.OPf.
Regensburg-Klenzenbrücke,NKLE,,,,
Andernach Süd,YKANDS,7.4064715,50.4214151,281954745.0,Andernach Süd
Bremen Achterstr.,YHBAT,8.8598507,53.1002026,4001234.0,Achterstraße
Bremen Universität/Technologiepark,YHBUT,,,,
Albstadt-Laufen,TAL,8.9062684,48.2249896,2926635364.0,Albstadt-Laufen
Schwäbisch Gmünd Ost,YTSGO,9.8364468,48.8030701,73899605.0,Schwäbisch Gmünd-Ost
Aalen West,YTAW,10.0554832,48.824286,1663148840.0,Aalen-West
Lyon Part Dieu,XFLPD,4.8601192,45.7605453,20842381.0,Lyon Part-Dieu
Chalon-sur-Saone,XFCS,4.8534326,46.7831001,2078971.0,Chalon-sur-Saône
Besancon,XFBI,6.0243622,47.2380222,103599.0,Besançon
Belfort,XFBF,6.8628942,47.6379599,75618.0,Belfort
Mulhouse-Ville,XFMV,7.342934,47.7417759,3808763779.0,Mulhouse-Ville
Strasbourg,XFSTG,7.7507127,48.584614,71033.0,Strasbourg
Potsdam Pirschheide (oben),BPHO,,,,
Trier Hafenstraße,YSTRH,6.6822801,49.7913394,1264976823.0,Trier Hafenstraße
Coburg-Beiersdorf,YNCB,10.9307939,50.2865335,8602926558.0,Coburg-Beiersdorf
Bln-Marzahn,BMAR,,,,
Schwaigerloh,MSL,11.8309533,48.3521505,5927447655.0,Schwaigerloh
Bft Bonn Gbf,KB  G,,,,
Volkach,NVOL,10.2261848,49.8656925,284500.0,Volkach
Escherndorf,NESC,10.1738952,49.861478,360020751.0,Escherndorf
Eisenheim,NEIS,10.1656881,49.8897929,182343.0,Eisenheim
Prosselsheim,NPRO,10.1265733,49.8639445,182344.0,Prosselsheim
Münster Halle Münsterland,YEMHML,7.6374563,51.9469017,25640695.0,Halle Münsterland
Münster-Loddenheide,YEMLH,7.6489385,51.9348218,141423028.0,Loddenheide
Gremmendorf WLE,EGMD,,,,
Angelmodde,YEAGM,7.7048406,51.9174086,3719218.0,Angelmodde
Wolbeck WLE,EWBC,,,,
Kellinghusen,AKG,9.7188996,53.949549,450224.0,Kellinghusen
Neckarsulm AVG,TN  G,9.2194872,49.1888033,3202251805.0,Neckarsulm AVG
Braunschweig West,HBSW,10.4901773,52.2370527,9071752515.0,Braunschweig West
Apen,HAP,7.8097336,53.2214255,1187347.0,Apen
Geretsried Süd,MGES,11.4816483,47.8508503,9425771916.0,Geretsried Süd
Geretsried Mitte,MGEM,11.4621595,47.8724554,9425772652.0,Geretsried Mitte
Geltingen,MGEL,4.3625475,52.0783923,7473378.0,Baron van Geltingenlaan
Merklingen,TMKL,9.7557738,48.5101058,2772187.0,Merklingen
Flensburg Alter Bf,AFHF,,,,
Flensburg Schulen/Exe,YAFSE,9.4304626,54.7805463,4385863963.0,"Berufsfachschule Holzbildhauerei, Werkkunstschule Flensburg"
ANW,ANW,-99.9889935,42.5730157,697420052.0,Ainsworth Regional Airport
Venlo,XNVL,6.1511724,51.3924489,405106.0,Venlo
Albersloh,EABL,7.7332412,51.8679353,56275496.0,Albersloh
Sendenhorst WLE,ESDH,,,,
Itzehoe-Alsen,AALS,9.5033368,53.909049,12765776546.0,Itzehoe Alsen
Frankfurt Flughafen Terminal 3,YFFLT3,8.5786581,50.0300498,507852946.0,Terminal 3
Frankfurt-Fechenheim,FFFE,8.7693856,50.123015,3339222.0,Fechenheim
Frankfurt Bergen-Enkheim,YFBEK,8.7473928,50.1395666,31998331.0,Frankfurt-Bergen-Enkheim
Frankfurt Berger Höhe,YFBEH,,,,
Bad Vilbel-Gronau Süd,YFGRS,,,,
Neermoor,HNEM,7.4418682,53.3067155,14968556.0,Neermoor
Eckernförde Süd,AECS,9.8552087,54.4575301,106165707.0,Sperrgebiet Eckernförde-Süd
Eckernförde Nord,AECN,9.867354,54.4750372,30541336.0,Kaserne Nord
Eutingen Nord Hp,YTETN,,,,
Münster-Preußenstadion 2931,YEMBF,7.6260706,51.9305271,194798090.0,Preußenstadion
Hamm-Westtünnen,YEHAT,7.858809,51.6503902,1282002356.0,Hamm-Westtünnen
Adendorf,AADF,10.4392992,53.281748,1392133.0,Adendorf
F-Ginnheim,FFGI,8.6498558,50.143081,4097527.0,Ginnheim
Köln-Bocklemünd,YKBOC,6.8504253,50.9754577,364223.0,Köln-Bocklemünd
Pulheim Gewerbepark,YKPIN,,,,
Grevenbroich Süd,YKGRS,6.6211189,51.0748028,235641243.0,Grevenbroich-Süd
Bft Os Hbf Schnk,HO  S,,,,
Sudmühle,ESDM,7.6871135,51.9939766,31056446.0,Sudmühle
Schkeuditz Ost,LSDO,12.2249368,51.4015315,26851133.0,Oststraße
Bft H Steintorbf,LHST,,,,
Vehrte,HVEH,8.1532691,52.3410311,6045609425.0,Vehrte
Belm,HBEM,8.1247011,52.3029003,1819474.0,Belm
Lörrach Zentralklinikum,RLZK,7.7097065,47.6415253,1117613136.0,Zentralklinikum Lörrach
Lübeck Moisling,ALM,10.6338837,53.8372025,11396227051.0,Lübeck-Moisling
Ffm Ost tief,YFFOT,,,,
Münster Danziger Freiheit,YEMM,7.6582048,51.9671022,814891820.0,Warendorfer Straße
Rosdorf,HRDF,9.7272251,53.9776685,450223.0,Rosdorf
Purkshof Hp,WPKH,,,,
Bft Os Hbf Vorb,HO  N,,,,
Schwetzingen Nord,YRSZN,8.5618978,49.4004393,1462156813.0,Schwetzingen-Nord
Schwetzingen-Hirschacker,YRSZH,8.5571199,49.4060806,1127452164.0,Schwetzingen-Hirschacker
Bft Heidingsf. O,NWHO,,,,
Frankfurt-Nied Ost,FFNDO,,,,
Abzw Mz Landstr,FMLA,,,,
Bad Vilbel-Massenheim,YFVLM,8.7207875,50.1906783,3297970.0,Massenheim
Frankfurt Nieder-Erlenbach,YFNIEE,8.7119602,50.2026088,3299379.0,Nieder-Erlenbach
Frankfurt-Harheim Ost,YFHAO,,,,
Frankfurt-Harheim West,YFHAW,,,,
Frankfurt Nieder-Eschbach,YFNE,8.6665757,50.2017654,3342011.0,Nieder-Eschbach
Frankfurt Ober-Eschbach,YFOE,8.652699,50.2158445,2435290934.0,Comfort Business Apartment Frankfurt
Bad Homburg Gonzenheim,YFHOG,8.6211242,50.2200212,4203880589.0,Bad Homburg
Eschborn Ost,FESO,8.5796057,50.1381983,488858373.0,Eschborn-Ost
Düsseldorfer Str.,FDUS,13.3239297,52.4952225,231883017.0,Düsseldorfer Straße
Dunantsiedlung,FDR,,,,
Höchst Stadtpark,FHOEP,8.5560866,50.1114295,8079333.0,Höchster Stadtpark
Industriepark Ost,FIPO,13.2677386,52.3237778,4491392.0,Industriepark-Ost
Industriepark Süd,FHIS,8.4345815,49.451517,261445507.0,Industriepark Süd
Mörfelder Landstraße,YFMFL,8.6788827,50.0939897,926255419.0,Mörfelder Landstraße
Wilhelm-Leuschner-Strasse,YFNISL,13.0994092,52.4119545,10423052.0,Wilhelm-Leuschner-Straße
Neu Isenburg Zentrum,YFNISSTD,8.6989594,50.0506068,52470387.0,Parkhaus (Nord) Isenburg-Zentrum
Neu-Isenburg Am Trieb,YFNIST,8.7064176,50.0533754,39585906.0,Am Trieb
Neu-Isenburg Birkengewann,YFNISB,8.7110588,50.0510239,237524786.0,Birkengewann
Laatzen Mitte,HLM,9.8152498,52.3053869,11623875.0,Laatzen-Mitte
Hildesheim-Marienburg,HMBR,9.9787669,52.1127791,9570750610.0,Marienburg
Karower Kreuz (unten),BKAK U,,,,
Güdingen Hp,SGD,,,,
Rendsburg-Seemühlen,YARSM,9.6161636,54.311916,18335011.0,Seemühlen
Sarreguemines,XFSM,7.0708865,49.1094836,90243.0,Sarreguemines
Bregenz,XAB,9.7472924,47.5025779,75073.0,Bregenz
Döbeln Zentrum,DDEZ,13.1064555,51.1252452,224383594.0,Feuerwehrtechnisches Zentrum
AENG,AENG,11.1731945,61.777025,3745355450.0,Åeng
Hiltersdorf,NHIL,11.9392132,49.4304791,289742012.0,Hiltersdorf
Konstanz Grenze,RXKZ,8.7170814,47.691865,3029799806.0,Grenze
Oberreitnau,YMOB,9.6831748,47.5932325,148427488.0,Oberreitnau
Weißenberg,YMWEB,14.658726,51.1968328,1309659.0,Weißenberg
Bk Schlachters,MSLS,9.746292,47.5880912,148477652.0,Schlachters
Hergensweiler,MHGW,9.7770643,47.6111666,959435.0,Hergensweiler
Praunheim,FGEP,8.6215134,50.1507958,3342354.0,Praunheim
Swinoujscie Centrum,XPSM,14.2335224,53.9146048,272323973.0,Świnoujście Centrum
Enschede Hp,XNES,,,,
Bonn-Vilich Hp,KVIL,,,,
Ramersdorf Hp,KRAM,,,,
Langendorf,WLDF,13.5092561,49.1962745,439231.0,Dlouhá Ves
Tannenheim,WTAN,21.70525,53.54236,31570571.0,Wielki Las
Pruchten,WOPR,12.675384,54.3773772,374277.0,Pruchten
Zingst,DSWOP,12.6821366,54.4387302,374275.0,Zingst
Prerow,WOP,12.5660206,54.445906,374252.0,Prerow
Münster-Kinderhaus,YEMKI,7.6025935,51.9942949,3857115.0,Kinderhaus
Krefeld Obergplatz,KKRP,6.5379491,51.3296808,810227237.0,Obergplatz
Ge-Buer Nord,EGBN,7.0455599,51.5663823,6960336159.0,GE-1064
Abzw Westerholt,EWSH,,,,
Hohenebra,UHO,10.8141467,51.3062925,849487322.0,Hohenebra
Ko Mosel Gbf,KKOM,,,,
Kilchberg,TKC,8.5459483,47.3225316,1682152.0,Kilchberg (ZH)
S002H,S002H,,,,
Trier-Euren,SEU,6.6122715,49.7380689,11816904219.0,Trier-Euren
Trier West,STRW,6.6236823,49.7516361,805000058.0,Trier West
Bft Ehrang Süd,SEG S,,,,
Bft Ehrang Mitte,SEG M,,,,
Jägerhaus Hp,MJGS,8.5475622,49.5804823,1973925463.0,Jägerhaus
Verliehausen,HVLH,9.6695362,51.6137264,1252536870.0,Verliehausen
Verl/Bz Detmold,EVR,,,,
Verl Eiserstraße,YEVRE,8.4669592,51.8761526,88582839.0,Eiserstraße
Gütersloh-Spexard,EGLS,8.4090922,51.8826206,2305380311.0,Spexard
Gütersloh Welle,YEGLW,8.4054367,51.8969766,1772767743.0,Die Welle
Gütersloh Carl-Miele-Straße,YEGCMS,8.3878612,51.912452,24285373.0,Carl-Miele-Straße
Gütersloh Nord,EGLN,8.3872415,51.9091312,41829591.0,Gütersloh Nord
Blankenhagen,EBKH,12.3416938,54.1707198,393348.0,Blankenhagen
Marienfeld (Westf),EMFD,,,,
Harsewinkel,EHWK,8.2252425,51.9617153,138702.0,Harsewinkel
Scharnitz,XAA,11.2647993,47.3902687,122794.0,Scharnitz
Ehrwald (Zugspitzbahn),XAEZ,10.9136298,47.4095316,2991585248.0,Ehrwald-Zugspitzbahn
Lermoos,XALM,10.8877611,47.3989427,37839.0,Lermoos
Lähn,XALN,8.3363118,50.5514354,412935.0,Lahn
Bichlbach-Berw.,XABI,,,,
Bichlbach-Almk,XABIA,,,,
Heiterw-Plansee,XAHP,,,,
Reutte Schulzentrum,XARTS,10.7249315,47.4914827,3999080605.0,"Reutte, Schulzentrum"
Reutte in Tirol,XART,10.7215867,47.493097,2992481871.0,Reutte in Tirol
Pillach,XAPL,,,,
Musau,XAMU,10.6707332,47.5348549,28756.0,Musau
Ulrichsbr-Füssen,XAU,10.6644896,47.5429925,933006774.0,Ulrichsbrücke-Füssen
Vils,XAV,12.6112678,48.5725793,409111.0,Vils
Schönbichl,XASBL,12.0312352,46.8463384,3700210323.0,Schönbichl - Bel Colle
Igel Grenze,SXIG,,,,
Wasserbillig,XLW,6.5013499,49.7143407,95782558.0,Wasserbillig
Salmrohr,SSMR,6.8461724,49.9279358,11323305865.0,Salmrohr
Kaufbeuren-Neugablonz,YMKNG,10.6495704,47.9002091,21452083.0,Kaufbeuren / Neugablonz
Kaufbeuren Nord,YMKFN,10.8622329,48.0737856,2493804140.0,Automobilforum Kaufbeuren – Landsberg
Marktoberdorf Nord,YMMON,10.6169276,47.7903021,9698349117.0,"Marktoberdorf, Nord"
Stadt Füssen,MAFU,10.6994589,47.5665982,523126186.0,Museum der Stadt Füssen
Osnabrück Rosenplatz,HORS,8.0509711,52.26558,768967628.0,Rosenplatz
Buxheim,MBUX,10.1325355,48.0005416,114083.0,Buxheim
Memmingen Klinikum,YMMKL,10.169301,47.9835569,1112494074.0,Klinikum
Memmingen-Amendingen,YMMAN,10.1781597,48.0044859,115216425.0,Amendingen
Heimertingen,MHMG,10.1570671,48.0368466,958632.0,Heimertingen
Fellheim,YMFEM,10.1527079,48.0732097,958631.0,Fellheim
Pleß (Iller),MPLI,10.1561346,48.1187418,499313137.0,Bahnradweg Iller-Roth-Günz
Senden Nord,MSEDN,7.4883046,51.8549598,157741.0,Senden
TBO T,TBO T,1.1140809,41.1449543,10803802577.0,TBO
Dĕčín hl.n.,XTD,14.201296,50.7734783,5062517821.0,Děčín hlavní nádraží
Dĕčín-Přípeř Hp,XTDPR,,,,
Dĕčín-Prostřední Žleb,XTDP,14.2306016,50.7937727,5662733287.0,Děčín-Prostřední Žleb
Dĕčín-Čertova voda Hp,XTDC,,,,
Dolní Žleb za Hp,XTDZ,,,,
Dolní Žleb,XTDL,14.2161609,50.8418233,1598927193.0,Dolní Žleb
Mittelndorf Hp,DMDF,,,,
Dolní Poustevna,XTDA,14.2873374,50.9803948,439584.0,Dolní Poustevna
Kyritz Nord,WKYN,,,,
Falkenhagn DB-Gr,WFAG,,,,
Falkenhagen (Pr),WFA,12.2062039,53.207665,5734834815.0,Falkenhagen (PR)
Meyenburg BB/MV,WQME,,,,
Wendessen,HWEN,10.5852732,52.1562569,1729696.0,Wendessen
Büren/Eversburg,HBEVE,,,,
Büren-Kromschröder,HBKRO,7.967302,52.3084599,3156190853.0,Kromschröder
Wersen,HWRS,7.9411496,52.3138323,236954099.0,Wersen
Westerkappeln,HWTK,7.8772237,52.3141716,155572.0,Westerkappeln
Mettingen (Westf),HMET,,,,
Schlickelde,HSKD,7.7520244,52.3310813,471240556.0,Schlickelde
Recke-Espel,HRES,7.739656,52.3386666,471240555.0,Espel
Recke,HRKE,7.7175072,52.3702697,155638.0,Recke
